| database |             class | count |
| -------- | ----------------- | ----- |
|      big |          airplane |    18 |
|      big |            apples |    18 |
|      big |     aquarium fish |    18 |
|      big |        automobile |    18 |
|      big |              baby |    18 |
|      big |              bear |    18 |
|      big |            beaver |    18 |
|      big |               bed |    18 |
|      big |               bee |    18 |
|      big |            beetle |    18 |
|      big |           bicycle |    18 |
|      big |              bird |    18 |
|      big |           bottles |    18 |
|      big |             bowls |    18 |
|      big |               boy |    18 |
|      big |            bridge |    18 |
|      big |               bus |    18 |
|      big |         butterfly |    18 |
|      big |             camel |    18 |
|      big |              cans |    18 |
|      big |            castle |    18 |
|      big |               cat |    18 |
|      big |       caterpillar |    18 |
|      big |            cattle |    18 |
|      big |             chair |    18 |
|      big |        chimpanzee |    18 |
|      big |             clock |    18 |
|      big |             cloud |    18 |
|      big |         cockroach |    18 |
|      big | computer keyboard |    18 |
|      big |             couch |    18 |
|      big |              crab |    18 |
|      big |         crocodile |    18 |
|      big |              cups |    18 |
|      big |              deer |    18 |
|      big |          dinosaur |    18 |
|      big |               dog |    18 |
|      big |           dolphin |    18 |
|      big |          elephant |    18 |
|      big |          flatfish |    18 |
|      big |            forest |    18 |
|      big |               fox |    18 |
|      big |              frog |    18 |
|      big |              girl |    18 |
|      big |           hamster |    18 |
|      big |             horse |    18 |
|      big |             house |    18 |
|      big |          kangaroo |    18 |
|      big |              lamp |    18 |
|      big |        lawn-mower |    18 |
|      big |           leopard |    18 |
|      big |              lion |    18 |
|      big |            lizard |    18 |
|      big |           lobster |    18 |
|      big |               man |    18 |
|      big |             maple |    18 |
|      big |        motorcycle |    18 |
|      big |          mountain |    18 |
|      big |             mouse |    18 |
|      big |         mushrooms |    18 |
|      big |               oak |    18 |
|      big |           oranges |    18 |
|      big |           orchids |    18 |
|      big |             otter |    18 |
|      big |              palm |    18 |
|      big |             pears |    18 |
|      big |      pickup truck |    18 |
|      big |              pine |    18 |
|      big |             plain |    18 |
|      big |            plates |    18 |
|      big |           poppies |    18 |
|      big |         porcupine |    18 |
|      big |            possum |    18 |
|      big |            rabbit |    18 |
|      big |           raccoon |    18 |
|      big |               ray |    18 |
|      big |              road |    18 |
|      big |            rocket |    18 |
|      big |             roses |    18 |
|      big |               sea |    18 |
|      big |              seal |    18 |
|      big |             shark |    18 |
|      big |              ship |    18 |
|      big |             shrew |    18 |
|      big |             skunk |    18 |
|      big |        skyscraper |    18 |
|      big |             snail |    18 |
|      big |             snake |    18 |
|      big |            spider |    18 |
|      big |          squirrel |    18 |
|      big |         streetcar |    18 |
|      big |        sunflowers |    18 |
|      big |     sweet peppers |    18 |
|      big |             table |    18 |
|      big |              tank |    18 |
|      big |         telephone |    18 |
|      big |        television |    18 |
|      big |             tiger |    18 |
|      big |           tractor |    18 |
|      big |             train |    18 |
|      big |             trout |    18 |
|      big |             truck |    18 |
|      big |            tulips |    18 |
|      big |            turtle |    18 |
|      big |          wardrobe |    18 |
|      big |             whale |    18 |
|      big |            willow |    18 |
|      big |              wolf |    18 |
|      big |             woman |    18 |
|      big |              worm |    18 |
| big_test |          airplane |     2 |
| big_test |            apples |     2 |
| big_test |     aquarium fish |     2 |
| big_test |        automobile |     2 |
| big_test |              baby |     2 |
| big_test |              bear |     2 |
| big_test |            beaver |     2 |
| big_test |               bed |     2 |
| big_test |               bee |     2 |
| big_test |            beetle |     2 |
| big_test |           bicycle |     2 |
| big_test |              bird |     2 |
| big_test |           bottles |     2 |
| big_test |             bowls |     2 |
| big_test |               boy |     2 |
| big_test |            bridge |     2 |
| big_test |               bus |     2 |
| big_test |         butterfly |     2 |
| big_test |             camel |     2 |
| big_test |              cans |     2 |
| big_test |            castle |     2 |
| big_test |               cat |     2 |
| big_test |       caterpillar |     2 |
| big_test |            cattle |     2 |
| big_test |             chair |     2 |
| big_test |        chimpanzee |     2 |
| big_test |             clock |     2 |
| big_test |             cloud |     2 |
| big_test |         cockroach |     2 |
| big_test | computer keyboard |     2 |
| big_test |             couch |     2 |
| big_test |              crab |     2 |
| big_test |         crocodile |     2 |
| big_test |              cups |     2 |
| big_test |              deer |     2 |
| big_test |          dinosaur |     2 |
| big_test |               dog |     2 |
| big_test |           dolphin |     2 |
| big_test |          elephant |     2 |
| big_test |          flatfish |     2 |
| big_test |            forest |     2 |
| big_test |               fox |     2 |
| big_test |              frog |     2 |
| big_test |              girl |     2 |
| big_test |           hamster |     2 |
| big_test |             horse |     2 |
| big_test |             house |     2 |
| big_test |          kangaroo |     2 |
| big_test |              lamp |     2 |
| big_test |        lawn-mower |     2 |
| big_test |           leopard |     2 |
| big_test |              lion |     2 |
| big_test |            lizard |     2 |
| big_test |           lobster |     2 |
| big_test |               man |     2 |
| big_test |             maple |     2 |
| big_test |        motorcycle |     2 |
| big_test |          mountain |     2 |
| big_test |             mouse |     2 |
| big_test |         mushrooms |     2 |
| big_test |               oak |     2 |
| big_test |           oranges |     2 |
| big_test |           orchids |     2 |
| big_test |             otter |     2 |
| big_test |              palm |     2 |
| big_test |             pears |     2 |
| big_test |      pickup truck |     2 |
| big_test |              pine |     2 |
| big_test |             plain |     2 |
| big_test |            plates |     2 |
| big_test |           poppies |     2 |
| big_test |         porcupine |     2 |
| big_test |            possum |     2 |
| big_test |            rabbit |     2 |
| big_test |           raccoon |     2 |
| big_test |               ray |     2 |
| big_test |              road |     2 |
